iter	Passed	Remaining
407	4284	6217
408	4296	6208
409	4307	6199
410	4351	6235
411	4363	6227
412	4377	6221
413	4387	6210
414	4402	6206
415	4412	6194
416	4448	6219
417	4461	6212
418	4475	6205
419	4489	6199
420	4498	6186
421	4539	6217
422	4551	6208
423	4567	6204
424	4576	6192
425	4592	6187
426	4603	6177
427	4642	6204
428	4657	6199
429	4667	6187
430	4678	6177
431	4695	6173
432	4733	6197
433	4744	6187
434	4758	6180
435	4771	6171
436	4787	6167
437	4796	6154
438	4839	6183
439	4848	6171
440	4860	6160
441	4871	6150
442	4883	6139
443	4899	6135
444	4909	6122
445	4938	6134
446	4949	6123
447	4968	6121
448	4982	6113
449	4991	6100
450	5025	6117
451	5040	6111
452	5050	6098
453	5066	6093
454	5079	6084
455	5089	6071
456	5129	6095
457	5140	6083
458	5154	6075
459	5170	6069
460	5181	6058
461	5194	6048
462	5233	6069
463	5242	6056
464	5254	6045
465	5266	6034
466	5277	6023
467	5288	6011
468	5326	6030
469	5338	6019
470	5350	6009
471	5364	6000
472	5378	5992
473	5392	5984
474	5423	5994
475	5438	5986
476	5449	5974
477	5460	5963
478	5475	5956
479	5485	5942
480	5527	5964
481	5539	5952
482	5550	5941
483	5566	5934
484	5579	5924
485	5620	5944
486	5629	5930
487	5646	5923
488	5659	5914
489	5669	5900
490	5683	5891
491	5698	5883
492	5714	5877
493	5726	5865
494	5737	5853
495	5756	5849
496	5789	5859
497	5800	5847
498	5814	5837
499	5829	5829
500	5839	5816
501	5854	5808
502	5884	5813
503	5904	5810
504	5915	5798
505	5927	5786
506	5942	5778
507	5953	5765
508	5986	5774
509	6001	5766
510	6012	5753
511	6028	5745
512	6040	5734
513	6051	5722
514	6088	5733
515	6099	5721
516	6113	5711
517	6125	5699
518	6141	5691
519	6157	5683
520	6185	5686
521	6201	5678
522	6217	5670
523	6226	5656
524	6240	5645
525	6255	5636
526	6288	5643
527	6297	5629
528	6309	5617
529	6321	5605
530	6339	5599
531	6349	5585
532	6359	5572
533	6386	5573
534	6402	5564
535	6412	5550
536	6423	5538
537	6436	5527
538	6480	5542
539	6493	5531
540	6507	5521
541	6519	5508
542	6530	5496
543	6541	5483
544	6572	5487
545	6588	5478
546	6599	5465
547	6610	5452
548	6622	5440
549	6634	5428
550	6646	5416
551	6684	5424
552	6703	5418
553	6716	5407
554	6728	5394
555	6739	5381
556	6750	5369
557	6769	5362
558	6782	5350
559	6793	5337
560	6800	5321
561	6806	5304
562	6822	5295
563	6828	5278
564	6834	5261
565	6840	5244
566	6845	5227
567	6851	5211
568	6860	5196
569	6866	5180
570	6872	5163
571	6878	5146
572	6884	5130
573	6890	5113
574	6895	5096
575	6901	5080
576	6907	5063
577	6913	5047
578	6918	5030
579	6946	5029
580	6952	5013
581	6959	4998
582	6964	4981
583	6970	4965
584	6976	4949
585	6982	4933
586	6988	4916
587	6993	4900
588	7002	4886
589	7008	4870
590	7014	4854
591	7041	4852
592	7047	4836
593	7052	4820
594	7058	4804
595	7064	4788
596	7070	4773
597	7076	4757
598	7082	4741
599	7088	4725
600	7093	4709
601	7099	4693
602	7105	4678
603	7137	4679
604	7143	4663
605	7148	4647
606	7154	4632
607	7160	4616
608	7166	4601
609	7172	4585
610	7178	4570
611	7184	4554
612	7190	4539
613	7195	4523
614	7201	4508
615	7206	4492
616	7239	4494
617	7255	4484
618	7265	4471
619	7280	4461
620	7290	4449
621	7304	4438
622	7340	4441
623	7350	4428
624	7361	4417
625	7377	4407
626	7389	4396
627	7401	4384
628	7435	4385
629	7451	4376
630	7463	4364
631	7476	4353
632	7488	4341
633	7500	4329
634	7514	4319
635	7526	4307
636	7542	4298
637	7552	4285
638	7568	4275
639	7577	4262
640	7622	4269
641	7636	4258
642	7650	4247
643	7665	4237
644	7675	4224
645	7702	4220
646	7716	4209
647	7727	4197
648	7743	4187
649	7752	4174
650	7763	4162
651	7794	4160
652	7825	4158
653	7840	4147
654	7852	4135
655	7867	4125
656	7896	4122
657	7908	4110
658	7920	4098
659	7933	4086
660	7949	4077
661	7963	4065
662	8000	4066
663	8009	4053
664	8025	4043
665	8039	4031
666	8056	4022
667	8088	4020
668	8105	4010
669	8114	3996
670	8126	3984
671	8137	3972
672	8150	3960
673	8183	3958
674	8194	3945
675	8206	3933
676	8225	3924
677	8235	3911
678	8246	3898
679	8287	3900
680	8302	3889
681	8317	3878
682	8326	3864
683	8339	3852
684	8380	3853
685	8390	3840
686	8401	3827
687	8417	3817
688	8432	3806
689	8452	3797
690	8484	3793
691	8502	3784
692	8514	3772
693	8526	3759
694	8541	3748
695	8576	3746
696	8594	3736
697	8611	3725
698	8632	3717
699	8649	3707
700	8679	3701
701	8694	3691
702	8706	3678
